ticker,lot_size
1301.T,100
130A.T,100
1332.T,100
1333.T,100
135A.T,100
1375.T,100
1376.T,100
1377.T,100
1379.T,100
137A.T,100
1380.T,100
1381.T,100
1382.T,100
1383.T,100
1384.T,100
138A.T,100
1401.T,100
1407.T,100
1414.T,100
1417.T,100
1418.T,100
1419.T,100
141A.T,100
1420.T,100
1429.T,100
142A.T,100
1430.T,100
1431.T,100
1433.T,100
1434.T,100
1435.T,100
1436.T,100
1438.T,100
143A.T,100
1443.T,100
1444.T,100
1446.T,100
1447.T,100
1450.T,100
145A.T,100
146A.T,100
147A.T,100
148A.T,100
1491.T,100
149A.T,100
150A.T,100
1514.T,100
1515.T,100
1518.T,100
151A.T,100
153A.T,100
155A.T,100
156A.T,100
157A.T,100
1605.T,100
160A.T,100
1662.T,100
1663.T,100
166A.T,100
167A.T,100
168A.T,100
1711.T,100
1716.T,100
1717.T,100
1718.T,100
1719.T,100
1720.T,100
1721.T,100
1723.T,100
1724.T,100
1726.T,100
1736.T,100
173A.T,100
1758.T,100
175A.T,100
1762.T,100
1764.T,100
1766.T,100
1768.T,100
1770.T,100
1773.T,100
1776.T,100
177A.T,100
1780.T,100
1783.T,100
1786.T,100
1787.T,100
1788.T,100
1793.T,100
1795.T,100
1798.T,100
1799.T,100
1801.T,100
1802.T,100
1803.T,100
1807.T,100
1808.T,100
1810.T,100
1811.T,100
1812.T,100
1813.T,100
1814.T,100
1815.T,100
1820.T,100
1822.T,100
1826.T,100
1827.T,100
1828.T,100
1833.T,100
1835.T,100
1840.T,100
1841.T,100
1844.T,100
1847.T,100
1848.T,100
184A.T,100
1850.T,100
1852.T,100
1853.T,100
1860.T,100
1861.T,100
1866.T,100
1867.T,100
186A.T,100
1870.T,100
1871.T,100
1873.T,100
1878.T,100
1879.T,100
1882.T,100
1885.T,100
1887.T,100
1888.T,100
1893.T,100
1897.T,100
1898.T,100
1899.T,100
189A.T,100
1904.T,100
1905.T,100
1909.T,100
190A.T,100
1911.T,100
1914.T,100
1921.T,100
1925.T,100
1926.T,100
1928.T,100
1929.T,100
192A.T,100
1930.T,100
1934.T,100
1938.T,100
1939.T,100
1941.T,100
1942.T,100
1944.T,100
1945.T,100
1946.T,100
1948.T,100
1949.T,100
194A.T,100
1950.T,100
1951.T,100
1952.T,100
1959.T,100
195A.T,100
1960.T,100
1961.T,100
1963.T,100
1964.T,100
1965.T,100
1966.T,100
1967.T,100
1968.T,100
1969.T,100
196A.T,100
1972.T,100
1975.T,100
1976.T,100
1979.T,100
197A.T,100
1980.T,100
1981.T,100
1982.T,100
198A.T,100
1992.T,100
1994.T,100
1997.T,100
2001.T,100
2002.T,100
2003.T,100
2004.T,100
2009.T,100
202A.T,100
2053.T,100
2055.T,100
205A.T,100
2060.T,100
206A.T,100
208A.T,100
2108.T,100
2109.T,100
2112.T,100
2114.T,100
2117.T,100
211A.T,100
2120.T,100
2121.T,100
2122.T,100
2124.T,100
2127.T,100
212A.T,100
2130.T,100
2134.T,100
2136.T,100
2138.T,100
2139.T,100
