code,name,market,sector33_code,sector33,sector17_code,sector17,scale_code,scale,ticker
1301,極洋,プライム（内国株式）,50,水産・農林業,1,食品,6,TOPIX Small 1,1301.T
130A,Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,グロース（内国株式）,3250,医薬品,5,医薬品,-,-,130A.T
1332,ニッスイ,プライム（内国株式）,50,水産・農林業,1,食品,4,TOPIX Mid400,1332.T
1333,マルハニチロ,プライム（内国株式）,50,水産・農林業,1,食品,4,TOPIX Mid400,1333.T
135A,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-,135A.T
1375,ユキグニファクトリー,プライム（内国株式）,50,水産・農林業,1,食品,7,TOPIX Small 2,1375.T
1376,カネコ種苗,スタンダード（内国株式）,50,水産・農林業,1,食品,7,TOPIX Small 2,1376.T
1377,サカタのタネ,プライム（内国株式）,50,水産・農林業,1,食品,6,TOPIX Small 1,1377.T
1379,ホクト,プライム（内国株式）,50,水産・農林業,1,食品,7,TOPIX Small 2,1379.T
137A,Ｃｏｃｏｌｉｖｅ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-,137A.T
1380,秋川牧園,スタンダード（内国株式）,50,水産・農林業,1,食品,-,-,1380.T
1381,アクシーズ,スタンダード（内国株式）,50,水産・農林業,1,食品,-,-,1381.T
1382,ホーブ,スタンダード（内国株式）,50,水産・農林業,1,食品,-,-,1382.T
1383,ベルグアース,スタンダード（内国株式）,50,水産・農林業,1,食品,-,-,1383.T
1384,ホクリヨウ,スタンダード（内国株式）,50,水産・農林業,1,食品,-,-,1384.T
138A,光フードサービス,グロース（内国株式）,6100,小売業,14,小売,-,-,138A.T
1401,エムビーエス,グロース（内国株式）,2050,建設業,3,建設・資材,-,-,1401.T
1407,ウエストホールディングス,スタンダード（内国株式）,2050,建設業,3,建設・資材,-,-,1407.T
