number,values_1_minus_dir_acc_close,values_1_minus_dir_acc_open,values_rmse_close,values_rmse_open,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_depth,params_min_child_samples,params_min_gain_to_split,params_num_leaves,system_attrs_NSGAIISampler:generation,state
0,0.5460446355829205,0.5747332149105819,58566.972566301665,58566.972565270895,2026-02-24 21:14:40.544491,2026-02-24 21:15:11.357178,0 days 00:00:30.812687,0.4348501673009197,9,0.49359671220172163,0.002570603566117598,0.023585940584142682,0.03574712922600244,10,64,0.15601864044243652,244,0,COMPLETE
1,0.5454836857077985,0.5764962002323935,58566.97256648161,58566.9725652221,2026-02-24 21:15:11.357441,2026-02-24 21:15:44.019591,0 days 00:00:32.662150,0.5825453457757226,6,0.5100427059120604,7.71800699380605e-05,4.17890272377219e-06,0.010725209743171997,11,29,0.18182496720710062,248,0,COMPLETE
2,0.5460446355829205,0.5383783206229215,58566.97256652229,58566.972565703414,2026-02-24 21:15:44.019810,2026-02-24 21:16:15.330991,0 days 00:00:31.311181,0.5198042692950159,6,0.8711055768358081,0.0021465011216654484,2.6185068507773707e-08,0.08012737503998542,5,43,0.45606998421703593,48,0,COMPLETE
3,0.5460446355829205,0.5383783206229215,58566.97256654542,58566.97256567244,2026-02-24 21:16:15.331179,2026-02-24 21:16:48.187560,0 days 00:00:32.856381,0.5827682615040224,1,0.8850384088698766,0.014391207615728067,9.148975058772307e-05,0.07896186801026692,3,96,0.9656320330745594,56,0,COMPLETE
4,0.5460446355829205,0.5587194315707933,58566.97256652721,58566.97256552708,2026-02-24 21:16:48.187741,2026-02-24 21:17:21.719380,0 days 00:00:33.531639,0.5870266456536466,6,0.7975133706123891,0.0008325158565947976,4.609885087947832e-07,0.015144860262751412,3,92,0.2587799816000169,134,0,COMPLETE
5,0.5460446355829205,0.5383783206229215,58566.97256654542,58566.97256567244,2026-02-24 21:17:21.719585,2026-02-24 21:17:56.057511,0 days 00:00:34.337926,0.4530955012311517,2,0.9531245410138701,2.5529693461039728e-08,8.471746987003668e-06,0.27051668818999286,12,91,0.5978999788110851,201,0,COMPLETE
6,0.5460446355829205,0.5383783206229215,58566.97256653462,58566.97256572769,2026-02-24 21:17:56.057700,2026-02-24 21:18:28.696463,0 days 00:00:32.638763,0.4845545349848576,9,0.7256176498949491,4.6876566400928895e-08,7.620481786158549,0.03750796359625606,11,42,0.28093450968738076,80,0,COMPLETE
7,0.5460446355829205,0.5383783206229215,58566.97256649609,58566.97256574385,2026-02-24 21:18:28.696644,2026-02-24 21:18:57.492102,0 days 00:00:28.795458,0.8627622080115674,1,0.8374043008245924,1.683416412018213e-05,1.1036250149900698e-07,0.13826083091896751,3,84,0.7068573438476171,62,0,COMPLETE
8,0.5460446355829205,0.5633405900658448,58566.972566330085,58566.972565430544,2026-02-24 21:18:57.492296,2026-02-24 21:19:30.287376,0 days 00:00:32.795080,0.8377637070028385,7,0.5951099932160482,0.9658611176861268,0.0001778010520878397,0.18832519048593593,6,15,0.3109823217156622,165,0,COMPLETE
9,0.5460446355829205,0.5383783206229215,58566.97256654542,58566.972565679534,2026-02-24 21:19:30.287552,2026-02-24 21:20:03.472106,0 days 00:00:33.184554,0.7136396976291964,5,0.6962773578186345,1.6934490731313353e-08,9.354548757337708e-08,0.015019490572374374,10,61,0.770967179954561,186,0,COMPLETE
10,0.5460446355829205,0.5383783206229215,58566.97256654542,58566.97256567244,2026-02-24 21:20:03.472276,2026-02-24 21:20:36.555381,0 days 00:00:33.083105,0.6462297538213778,8,0.549575337489325,1.1459970229341322e-06,4.929685216887945e-08,0.011128194768838964,6,56,0.907566473926093,168,0,COMPLETE
11,0.5460446355829205,0.5383783206229215,58566.97256648486,58566.97256571778,2026-02-24 21:20:36.555562,2026-02-24 21:21:11.553121,0 days 00:00:34.997559,0.8822032461394687,2,0.9228763541126306,1.0790237065789294,0.000714628244934021,0.02679156169946617,12,83,0.6334037565104235,53,0,COMPLETE
12,0.5104910982597197,0.617018150735245,58566.97256476634,58566.97256528447,2026-02-24 21:21:11.553291,2026-02-24 21:21:41.470719,0 days 00:00:29.917428,0.8908088595534959,9,0.6562646731757538,1.1549659339590204e-08,0.00039511700681839584,0.1558428978238547,6,20,0.22793516254194168,230,0,COMPLETE
13,0.5460446355829205,0.5383783206229215,58566.97256654542,58566.97256567244,2026-02-24 21:21:41.470894,2026-02-24 21:22:11.024348,0 days 00:00:29.553454,0.7112743730460196,8,0.5939217592124532,1.8735548907110496e-05,5.572354590728726,0.04135867955263894,4,40,0.9429097039125192,68,0,COMPLETE
14,0.5460446355829205,0.5383783206229215,58566.97256635038,58566.97256575344,2026-02-24 21:22:11.024547,2026-02-24 21:22:47.444567,0 days 00:00:36.420020,0.7657386003879381,6,0.4221321684127197,2.906088000706637e-08,3.21972053981427e-06,0.2640288328540435,7,37,0.2848404943774676,75,0,COMPLETE
15,0.5460446355829205,0.5383783206229215,58566.97256654542,58566.97256567244,2026-02-24 21:22:47.444895,2026-02-24 21:23:21.082117,0 days 00:00:33.637222,0.8032813284435272,8,0.5452331629069003,1.3763785504379889e-06,0.03580528521176685,0.21959317857485672,4,54,0.9856504541106007,72,0,COMPLETE
16,0.5097832329411136,0.6182736099795654,58566.97256322837,58566.97256460772,2026-02-24 21:23:21.082346,2026-02-24 21:23:54.082131,0 days 00:00:32.999785,0.5924680389830415,2,0.9011814973535428,2.3279640748356466e-08,0.0020798714270728416,0.034934962585119265,9,58,0.0902897700544083,167,0,COMPLETE
17,0.5460446355829205,0.5383783206229215,58566.97256654542,58566.972565694065,2026-02-24 21:23:54.082345,2026-02-24 21:24:35.072657,0 days 00:00:40.990312,0.8145626428614796,4,0.5046198574029949,2.6950690621944617,1.7285760734977495e-07,0.10019469332296198,8,30,0.6451727904094499,18,0,COMPLETE
18,0.5453501262137219,0.5698315814779693,58566.972566515695,58566.9725651129,2026-02-24 21:24:35.072941,2026-02-24 21:25:08.824390,0 days 00:00:33.751449,0.8903333201207295,6,0.7959904276205074,0.0005845951462609696,1.5020023705702004e-06,0.03190041672417551,12,89,0.2579416277151556,42,0,COMPLETE
19,0.5460446355829205,0.5633940138634754,58566.97256654024,58566.97256548409,2026-02-24 21:25:08.824627,2026-02-24 21:25:42.748701,0 days 00:00:33.924074,0.8355734073221437,9,0.6095257447675966,0.9633360624447911,0.10444313823312164,0.01372537052078299,12,67,0.3390297910487007,231,0,COMPLETE
20,0.5460446355829205,0.5383783206229215,58566.97256654542,58566.97256567244,2026-02-24 21:25:42.748942,2026-02-24 21:26:16.668116,0 days 00:00:33.919174,0.4608829257196193,7,0.4055182309699778,1.1105912682481444e-08,2.800737863803595e-07,0.08878888265538125,4,91,0.6064290596595899,35,0,COMPLETE
21,0.5460446355829205,0.5383783206229215,58566.97256654542,58566.97256569041,2026-02-24 21:26:16.668339,2026-02-24 21:26:51.479401,0 days 00:00:34.811062,0.5952398188955607,8,0.5423494524980801,0.007025804993039185,0.4395524392287042,0.064646697464924,9,30,0.7121792213475359,181,0,COMPLETE
22,0.5460446355829205,0.6126507552789391,58566.972566372315,58566.97256491817,2026-02-24 21:26:51.479614,2026-02-24 21:27:25.873330,0 days 00:00:34.393716,0.9838063328514673,4,0.5463937860274501,1.0676256433841829,0.004789030842100622,0.09362115196011853,3,43,0.26520236768172545,151,0,COMPLETE
23,0.5453768381125372,0.5383783206229215,58566.97256637199,58566.97256569039,2026-02-24 21:27:25.873618,2026-02-24 21:28:00.752934,0 days 00:00:34.879316,0.5684634174645135,1,0.8334712691569033,0.006445411701103587,3.926414226888425e-07,0.1492906709779314,8,54,0.1952429877980445,136,0,COMPLETE
24,0.4910849037703845,0.6309617619168458,58566.972562269664,58566.97256416018,2026-02-24 21:28:00.753171,2026-02-24 21:28:35.017166,0 days 00:00:34.263995,0.6569104889903886,10,0.9569911375526352,4.705218477150976,0.4754283761334844,0.24500297851058134,12,43,0.015456616528867428,244,0,COMPLETE
25,0.51397700105512,0.6183403897266038,58566.97256526501,58566.97256464626,2026-02-24 21:28:35.017379,2026-02-24 21:29:00.405988,0 days 00:00:25.388609,0.9616928644964686,7,0.7340807574750101,0.0013506739716240216,7.491839140486663e-08,0.027223045993447617,11,38,0.1694927466860925,107,0,COMPLETE
26,0.5460446355829205,0.5383783206229215,58566.97256654542,58566.97256569264,2026-02-24 21:29:00.406648,2026-02-24 21:29:40.125884,0 days 00:00:39.719236,0.8182094445971608,8,0.8444611706525227,1.7195719847367482e-05,4.388606059101698e-06,0.08099164993582626,4,57,0.8773730719279554,253,0,COMPLETE
27,0.5460446355829205,0.5383783206229215,58566.97256650834,58566.972565788725,2026-02-24 21:29:40.126146,2026-02-24 21:30:18.333516,0 days 00:00:38.207370,0.8789771073800651,7,0.7009097768123198,0.020782696494253808,0.14525598138964968,0.1568644624233575,11,93,0.5113423988609378,210,0,COMPLETE
